id,input,output,note,label
1244,How do I run a memory hog scenario targeting nodes with node-role=worker?,krknctl run node-memory-hog --node-selector node-role.kubernetes.io/worker= --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the target namespace,node-memory-hog
1245,Initiate the node I/O hog scenario targeting worker nodes for 90 seconds.,krknctl run node-io-hog --chaos-duration 90 --node-selector kubernetes.io/hostname=node3,,node-io-hog
1246,How can I execute node stop-start and ensure health checks are performed with auth?,krknctl run node-scenarios --action node_stop_start_scenario --health-check-url http://internal.example.com/health --health-check-auth admin:password,,node-scenarios
1247,"For the audit, we must execute a memory hog scenario on nodes with node-role=worker for 10 minutes.",krknctl run node-memory-hog --chaos-duration 600 --memory-consumption 85% --node-selector node-role.kubernetes.io/worker= --namespace production,,node-memory-hog
1248,Run container kill in a pod without specifying namespace,krknctl run container-scenarios --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the target namespace,container-scenarios
1249,Run node stop start with label selector and parallel execution,krknctl run node-scenarios --action node_stop_start_scenario --label-selector node-role=worker --parallel true,,node-scenarios
1250,"Perform node crash scenario, but exclude nodes in namespace kube-system",krknctl run node-scenarios --action node_crash_scenario --exclude-label namespace=kube-system,,node-scenarios
1251,gimme a command for ingress and egress block in namespace dev,"krknctl run application-outages --namespace dev --pod-selector '{app: frontend}' --block-traffic-type '[Ingress, Egress]'",,application-outages
1252,Execute a VM outage in namespace infra,krknctl run kubevirt-outage --namespace infra --vm-name my-vm,,kubevirt-outage
1253,Cause an outage for the app in namespace dev for 10 minutes,"krknctl run application-outages --namespace dev --pod-selector '{app: api}' --chaos-duration 600 --block-traffic-type '[Ingress, Egress]'",,application-outages
1254,Execute the scenario in dev namespace with a 30-second timeout and 2 kill counts,krknctl run kubevirt-outage --namespace dev --vm-name <PLACEHOLDER_VM_NAME> --timeout 30 --kill-count 2,Replace <PLACEHOLDER_VM_NAME> with actual VM name,kubevirt-outage
1255,Trigger a node network filter to drop UDP traffic on port 53 in the dev namespace,krknctl run node-network-filter --ingress True --egress True --protocols udp --ports 53 --namespace dev --chaos-duration 60,,node-network-filter
1256,"Create a CPU pressure scenario in the dev namespace with 2 cores for 90 seconds, ensuring telemetry and Cerberus are active.",krknctl run node-cpu-hog --chaos-duration 90 --cores 2 --namespace dev --telemetry-enabled enabled --cerberus-enabled enabled,,node-cpu-hog
1257,Launch a CPU pressure experiment with 50% load for 1 minute,krknctl run node-cpu-hog --chaos-duration 60 --cpu-percentage 50,,node-cpu-hog
1258,How to simulate cluster power loss with telemetry and backup options,krknctl run power-outages --shutdown-duration 360 --cloud-type gcp --telemetry-enabled True --telemetry-prometheus-backup True --telemetry-events-backup true,,power-outages
1259,Filter node network traffic for 120 seconds on port 8081 in the kube-system namespace,krknctl run node-network-filter --ingress True --egress True --ports 8081 --chaos-duration 120 --namespace kube-system,,node-network-filter
1260,Execute pod network chaos for label app=backend in namespace infra with wait 300 seconds,"krknctl run pod-network-chaos --namespace infra --label-selector app=backend --traffic-type '[ingress,egress]' --test-duration 120 --wait-duration 300",,pod-network-chaos
1261,Use service hijacking and store results in Elasticsearch with TLS verification,krknctl run service-hijacking --scenario-file-path <PLACEHOLDER_SCENARIO_FILE> --enable-es True --es-server https://elasticsearch.staging.com --es-port 9201 --es-verify-certs True --es-metrics-index staging-metrics,Replace <PLACEHOLDER_SCENARIO_FILE> with the path to your scenario file,service-hijacking
1262,Run I/O stress on specific nodes with health check,krknctl run node-io-hog --node-selector kubernetes.io/hostname=node3 --io-write-bytes 10m --health-check-url https://monitoring.example.com/health --health-check-interval 10 --health-check-exit on-failure,,node-io-hog
1263,Execute power outage scenario with telemetry and logs backup for monitoring,krknctl run power-outages --shutdown-duration 120 --cloud-type azure --telemetry-enabled True --telemetry-logs-backup True --telemetry-events-backup True --telemetry-group test-env,,power-outages
1264,How do I run power loss simulation with telemetry and custom backup threads,krknctl run power-outages --shutdown-duration 90 --cloud-type vmware --telemetry-enabled True --telemetry-backup-threads 5 --telemetry-api-url https://api.telemetry.io --telemetry-run-tag backup-test,,power-outages
1265,run scenario for kubevirt outage,krknctl run kubevirt-outage --namespace <TARGET_NAMESPACE> --vm-name <PLACEHOLDER_VM_NAME>,Replace <TARGET_NAMESPACE> with the actual namespace and <PLACEHOLDER_VM_NAME> with the actual VM name,kubevirt-outage
1266,Create memory pressure on the node with label node=worker-1,krknctl run pod-scenarios --node-label-selector node=worker-1,,pod-scenarios
1267,Start container restart in namespace test with 5 minutes delay,krknctl run container-scenarios --namespace test --expected-recovery-time 300,,container-scenarios
1268,Could you tell me how to run power outage test for 500 seconds?,krknctl run power-outages --shutdown-duration 500,,power-outages
1269,What would the command be to delete objects in namespace matching app-.*?,krknctl run service-disruption-scenarios --label-selector app-.*,,service-disruption-scenarios
1270,Run pod network chaos for 5 minutes on pods labeled app=web in the dev namespace with telemetry enabled and logs backup,"krknctl run pod-network-chaos --namespace dev --label-selector app=web --traffic-type '[ingress,egress]' --test-duration 300 --telemetry-enabled True --telemetry-logs-backup True --telemetry-run-tag web-chaos-test",,pod-network-chaos
1271,Run the I/O stress scenario with monitoring and health checks for 3 iterations,krknctl run node-io-hog --chaos-duration 60 --io-write-bytes 10m --namespace default --node-mount-path /root --iterations 3 --wait-duration 30,,node-io-hog
1272,need to run memory hog on node=worker-1,krknctl run node-memory-hog --memory-consumption 90% --node-selector node=worker-1,,node-memory-hog
1273,Initiate SYN attack on nodes labeled node-type=infrastructure,krknctl run syn-flood --target-port 80 --node-selectors node-type=infrastructure,,syn-flood
1274,Run a 300 second pod outage in namespace infra,krknctl run application-outages --namespace infra --pod-selector '{app: daemon}' --chaos-duration 300,,application-outages
1275,Run chaos on bare metal nodes with telemetry and backup threads,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_FILE> --telemetry-enabled True --telemetry-backup-threads 12 --telemetry-prometheus-backup False,Replace <PLACEHOLDER_SCENARIO_FILE> with the actual base64-encoded scenario file path,node-scenarios-bm
1276,What would be the krknctl command to block egress traffic in namespace kube-system?,krknctl run application-outages --namespace kube-system --pod-selector '{app: foo}' --block-traffic-type '[Egress]',,application-outages
1277,Run scenario to filter network on node with label node=worker-2,krknctl run node-network-filter --ingress True --egress False --ports 443 --node-selector node=worker-2 --chaos-duration 120 --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the target namespace,node-network-filter
1278,Execute an I/O hog scenario for 180 seconds with io-workers set to 10 in the monitoring namespace.,krknctl run node-io-hog --chaos-duration 180 --io-workers 10 --namespace monitoring,,node-io-hog
1279,Gimme the command to inject network chaos by blocking ingress on port 2379 in dev namespace,krknctl run node-network-filter --ingress True --egress False --ports 2379 --namespace dev --chaos-duration 60,,node-network-filter
1280,Delete a virtual machine in namespace staging for 20 seconds,krknctl run kubevirt-outage --namespace staging --vm-name <PLACEHOLDER_VM_NAME> --timeout 20,Replace <PLACEHOLDER_VM_NAME> with the actual VM name,kubevirt-outage
1281,What's the syntax for running I/O stress on a specific node?,krknctl run node-io-hog --node-selector <NODE_SELECTOR> --namespace <TARGET_NAMESPACE>,Replace <NODE_SELECTOR> with the desired node selector and <TARGET_NAMESPACE> with the namespace.,node-io-hog
1282,Initiate zone failure in GCP and send telemetry to ES,krknctl run zone-outages --cloud-type gcp --gcp-application-credentials /path/to/credentials.json --zone us-east1-c --enable-es True --es-server https://es.example.com --es-port 9201 --es-username admin --es-password secret --es-telemetry-index telemetry,Provide the path to GCP credentials file and specify a valid zone name.,zone-outages
1283,Use krknctl to run container disruption with action 1,krknctl run container-scenarios --action 1,,container-scenarios
1284,"Run an application outage in dev namespace with ingress and egress blocked for 5 minutes, enable iterations and health checks","krknctl run application-outages --namespace dev --pod-selector '{app: frontend}' --block-traffic-type '[Ingress, Egress]' --chaos-duration 300 --iterations 2 --health-check-interval 30",,application-outages
1285,What command should I use to introduce network latency in the dev namespace?,krknctl run network-chaos --traffic-type egress --duration 300 --label-selector node-role.kubernetes.io/worker --egress '{latency: 25ms}',,network-chaos
1286,Run container chaos in namespace app-ns with alerting and metrics capture.,krknctl run container-scenarios --namespace app-ns --label-selector component=controller --enable-alerts True --capture-metrics True,,container-scenarios
1287,How do I run a TCP SYN surge scenario targeting port 80?,krknctl run syn-flood --target-port 80,,syn-flood
1288,I'm looking for the command that blocks both ingress and egress on port 2379 with a duration of 60 seconds.,krknctl run node-network-filter --ingress True --egress True --ports 2379 --chaos-duration 60,,node-network-filter
1289,Filter network traffic for pods in namespace production with ingress and egress blocked,"krknctl run pod-network-filter --ingress True --egress True --ports 80,443 --pod-selector app=api --namespace production --chas-duration 60",,pod-network-filter
1290,execute pod network chaos on pods labeled app=frontend,"krknctl run pod-network-chaos --namespace <TARGET_NAMESPACE> --label-selector app=frontend --traffic-type '[ingress,egress]' --test-duration 180",Replace <TARGET_NAMESPACE> with the target namespace,pod-network-chaos
1291,gimme command to block ingress for app=worker in kube-system,krknctl run application-outages --namespace kube-system --pod-selector '{app: worker}' --block-traffic-type '[Ingress]',,application-outages
1292,Generate memory hog on nodes with node-role=worker for 120 seconds using 90% consumption,krknctl run node-memory-hog --chaos-duration 120 --memory-consumption 90% --node-selector node-role.kubernetes.io/worker=,,node-memory-hog
1293,"Create a chaos test with egress faults, health check monitoring and logs backup","krknctl run network-chaos --traffic-type egress --duration 120 --node-name worker-node --egress '{latency: 150ms, loss: 0.03}' --health-check-interval 30 --health-check-url https://health.example.com --telemetry-logs-backup True --telemetry-archive-path /backup/logs",,network-chaos
1294,fill pvc to 50% in namespace app-ns,krknctl run pvc-scenario --namespace app-ns --fill-percentage 50,,pvc-scenarios
1295,Use telemetry during node disruption on bare metal cluster and configure backup threads,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_PATH> --telemetry-enabled True --telemetry-backup-threads 6 --telemetry-api-url https://telemetry.example.com/api --telemetry-prometheus-backup True,Replace <PLACEHOLDER_SCENARIO_PATH> with the actual path to your scenario file,node-scenarios-bm
1296,Create memory stress on node labeled worker-1 using telemetry and 20% memory,krknctl run node-memory-hog --memory-consumption 20% --node-selector node=worker-1 --telemetry-enabled True --telemetry-logs-backup enabled --telemetry-events-backup enabled --telemetry-archive-path /backup/memory-hog,,node-memory-hog
1297,Perform power outage for 15 minutes with ES integration,krknctl run power-outages --shutdown-duration 900 --enable-alerts True --prometheus-url http://prometheus:9090,,power-outages
1298,Skew time on nodes in the kube-system namespace and store results in Elasticsearch,krknctl run time-scenarios --object-type node --namespace kube-system --action skew_date --enable-es True --es-server https://elasticsearch.example.com --es-port 443 --es-username admin --es-password secret --es-metrics-index metrics --es-alerts-index alerts --es-verify-certs True,,time-scenarios
1299,What command do I use to run service hijacking with scenario config?,krknctl run service-hijacking --scenario-file-path <SCENARIO_FILE_PATH>,Replace <SCENARIO_FILE_PATH> with the actual path to the scenario file,service-hijacking
1300,Run container scenario with label app=backend in namespace dev for 120 seconds,krknctl run container-scenarios --namespace dev --label-selector app=backend --expected-recovery-time 120,,container-scenarios
1301,Run the application outages scenario in namespace monitoring with pod selector app=logger and chaos duration of 20 minutes.,krknctl run application-outages --namespace monitoring --pod-selector '{app: logger}' --chaos-duration 1200,,application-outages
1302,Run node termination scenario and skip nodes matching node-role=etcd,krknctl run node-scenarios --action node_termination_scenario --exclude-label node-role=etcd,,node-scenarios
1303,Generate an application outage in namespace production for 30 minutes and store to ES,krknctl run application-outages --namespace production --pod-selector '{app: api}' --chaos-duration 1800 --enable-es True --es-server https://elasticsearch.internal:9200 --es-port 443 --es-username elastic --es-password secret --es-metrics-index prod-metrics --es-alerts-index prod-alerts,,application-outages
1304,I want to run a PVC disk fill in the staging namespace,krknctl run pvc-scenario --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the target namespace,pvc-scenarios
1305,Create iptables rules on worker nodes to block ingress,"krknctl run node-network-filter --node-selector node-role.kubernetes.io/worker= --ingress True --egress False --ports 2379,2380 --chaos-duration 60",,node-network-filter
1306,How do I run network chaos with ingress and latency?,krknctl run network-chaos --traffic-type ingress --network-params '{latency: 100ms}',,network-chaos
1307,Run the node network filter to block ingress and egress on port 443 for the node with label node=worker-1,krknctl run node-network-filter --node-name <PLACEHOLDER_NODE_NAME> --ingress True --egress True --ports 443 --chaos-duration 60,Replace <PLACEHOLDER_NODE_NAME> with the actual node name.,node-network-filter
1308,Run node scenario with health monitoring and interval set to 1 minute,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_FILE> --health-check-url https://status.checker.com/api/health --health-check-interval 60 --health-check-exit on-failure,Replace <PLACEHOLDER_SCENARIO_FILE> with the actual base64-encoded scenario file path,node-scenarios-bm
1309,Run an egress block for 20 seconds in namespace staging,krknctl run application-outages --namespace staging --pod-selector '{app: frontend}' --chaos-duration 20 --block-traffic-type '[Egress]',,application-outages
1310,Run the node I/O stress scenario with 25m write and block size 4k in kube-system namespace,krknctl run node-io-hog --io-write-bytes 25m --io-block-size 4k --namespace kube-system --chaos-duration 120,,node-io-hog
1311,What command should I use to kill containers in namespace kube-system labeled app=api?,krknctl run container-scenarios --namespace kube-system --label-selector app=api,,container-scenarios
1312,Run time skew on nodes with node-role=worker,krknctl run time-scenarios --object-type node --label-selector node-role=worker,,time-scenarios
1313,Run container disruption in namespace prod with 2 containers,krknctl run container-scenarios --namespace prod --disruption-count 2,,container-scenarios
1314,Just block ingress traffic on the monitoring namespace nodes.,krknctl run network-chaos --traffic-type ingress --duration 60 --network-params '{latency: 10ms}' --label-selector node-role.kubernetes.io/worker,,network-chaos
1315,Execute memory hog with 50% consumption on a node for 120 seconds and monitor system health using SSL verification.,krknctl run node-memory-hog --chaos-duration 120 --memory-consumption 50% --node-selector kubernetes.io/hostname=node1= --health-check-url https://monitor.internal.com/status --health-check-verify strict,,node-memory-hog
1316,Run a network fault with bandwidth limit on test namespace.,"krknctl run network-chaos --traffic-type egress --label-selector node-role.kubernetes.io/worker --egress ""{bandwidth: 20mbit}""",,network-chaos
1317,Set up a time drift injection on pods in namespace monitoring,krknctl run time-scenarios --namespace monitoring --action skew_time,,time-scenarios
1318,Run memory stress on nodes labeled node-role=worker and log telemetry to ES,krknctl run node-memory-hog --chaos-duration 120 --memory-consumption 85% --namespace default --node-selector node-role.kubernetes.io/worker= --enable-es True --es-server https://elasticsearch.com --es-port 9200 --es-verify-certs True --es-metrics-index metrics,,node-memory-hog
1319,I need to run a kubevirt outage for a VM named my-vm in namespace app-ns,krknctl run kubevirt-outage --namespace app-ns --vm-name my-vm,,kubevirt-outage
1320,"Delete VMs in the default namespace using Cerberus, telemetry, and ES logging.",krknctl run kubevirt-outage --namespace default --vm-name default-vm --timeout 120 --cerberus-enabled True --cerberus-url https://cerberus.example.com --telemetry-enabled True --telemetry-api-url https://telemetry.example.com --es-server http://elasticsearch:9200 --es-port 9200,,kubevirt-outage
1321,Block incoming traffic on port 8080 and outgoing on port 9090 with telemetry and archive path set,"krknctl run node-network-filter --ingress True --egress True --ports 8080,9090 --chaos-duration 600 --telemetry-enabled True --telemetry-api-url https://telemetry.example.com --telemetry-archive-path /backup/chaos --telemetry-group node-filter",,node-network-filter
1322,"Run node scenario on bare metal cluster with telemetry, logs, and run tag",krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_FILE> --telemetry-enabled True --telemetry-logs-backup True --telemetry-run-tag cluster-disruption-test,Replace <PLACEHOLDER_SCENARIO_FILE> with the actual base64-encoded scenario file path,node-scenarios-bm
1323,Run kubevirt outage for 120 seconds in namespace dev,krknctl run kubevirt-outage --namespace dev --vm-name <PLACEHOLDER_VM_NAME> --timeout 120,Replace <PLACEHOLDER_VM_NAME> with the actual VM name,kubevirt-outage
1324,Run memory hog on worker nodes with telemetry enabled for 120 seconds,krknctl run node-memory-hog --chaos-duration 120 --memory-consumption 90% --namespace <TARGET_NAMESPACE> --telemetry-enabled True --telemetry-api-url https://telemetry.example.com --telemetry-username user123 --telemetry-run-tag memory-hog-test,Replace <TARGET_NAMESPACE> with the target namespace name,node-memory-hog
1325,Execute the application outage in namespace kube-system with daemon mode for 10 minutes.,krknctl run application-outages --namespace kube-system --pod-selector '{app: core}' --chaos-duration 600 --daemon-mode continuous,,application-outages
1326,Create a node disruption test on bare metal using telemetry with events backup,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_FILE> --telemetry-enabled True --telemetry-events-backup True --telemetry-group test-group-1,Replace <PLACEHOLDER_SCENARIO_FILE> with the actual base64-encoded scenario file path,node-scenarios-bm
1327,How do I filter network on nodes with label node=worker-1,"krknctl run node-network-filter --node-name <PLACEHOLDER_NODE_NAME> --ingress True --egress True --ports 80,443 --chaos-duration 90",Replace <PLACEHOLDER_NODE_NAME> with the actual node name,node-network-filter
1328,Simulate service downtime in the infra namespace for pods labeled app=controller.,krknctl run application-outages --namespace infra --pod-selector '{app: controller}' --chaos-duration 600,,application-outages
1329,block traffic on port 2379,krknctl run node-network-filter --ingress True --egress True --ports 2379 --chaos-duration 60,,node-network-filter
1330,Run a VMI deletion for 10 minutes in namespace default,krknctl run kubevirt-outage --namespace default --vm-name <PLACEHOLDER_VM_NAME> --timeout 600,Replace <PLACEHOLDER_VM_NAME> with the actual VM name,kubevirt-outage
1331,Run CPU stress with monitoring and alerts on worker nodes for 90 seconds,krknctl run node-cpu-hog --chaos-duration 90 --cpu-percentage 50 --node-selector node-role.kubernetes.io/worker= --capture-metrics True --enable-alerts True,,node-cpu-hog
1332,Disrupt BM node via IPMI and log telemetry to ES,krknctl run node-scenarios-bm --enable-es True --es-server http://elasticsearch.internal --es-port 9200 --es-username admin --es-telemetry-index krkn-telemetry --scenario-file-path <SCENARIO_FILE_PATH>,Replace <SCENARIO_FILE_PATH> the actual path to your scenario file,node-scenarios-bm
1333,Run a time skew scenario on pods labeled app=monitoring with telemetry enabled,krknctl run time-scenarios --label-selector app=monitoring --object-type pod --telemetry-enabled True --telemetry-prometheus-backup True --telemetry-group monitoring-time-skew --telemetry-api-url https://telemetry.example.com,,time-scenarios
1334,Inject memory pressure on a specific node for 5 minutes using default namespace,krknctl run node-memory-hog --chaos-duration 300 --node-selector kubernetes.io/hostname=node3,,node-memory-hog
1335,Execute node I/O stress with Prometheus and alert path,krknctl run node-io-hog --chaos-duration 120 --io-block-size 4k --namespace production --prometheus-url http://prometheus:9090 --alerts-path /alerts/custom.json,,node-io-hog
1336,"Execute a TCP SYN flood in the staging namespace for 2 minutes, capture metrics with Cerberus integration",krknctl run syn-flood --target-port 80 --namespace staging --chaos-duration 120 --cerberus-enabled True --cerberus-url https://cerberus.example.com --capture-metrics True,,syn-flood
1337,just block ingress for pods labeled app=backend,krknctl run pod-network-chaos --namespace <TARGET_NAMESPACE> --label-selector app=backend --traffic-type '[ingress]' --test-duration 60,Replace <TARGET_NAMESPACE> with the target namespace,pod-network-chaos
1338,What's the syntax for running a memory hog scenario targeting nodes with node-role=worker?,krknctl run node-memory-hog --node-selector node-role.kubernetes.io/worker=,,node-memory-hog
1339,Create I/O stress scenario with telemetry and group label,krknctl run node-io-hog --telemetry-enabled True --telemetry-group io-scenario-2 --telemetry-logs-backup True --io-block-size 1m,,node-io-hog
1340,Kill the pod with label app=web in namespace production,krknctl run pod-scenarios --namespace production --pod-label app=web,,pod-scenarios
1341,Give me the krknctl command to run pod failure for 300 seconds,krknctl run pod-scenarios --kill-timeout 300,,pod-scenarios
1342,Run a memory hog test for 300 seconds on labeled nodes,krknctl run node-memory-hog --chaos-duration 300 --memory-consumption 85% --node-selector node-role.kubernetes.io/worker= --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the desired namespace,node-memory-hog
1343,Run node network filter for 2 minutes with ingress and egress blocked on port 443,krknctl run node-network-filter --ingress True --egress True --ports 443 --chaos-duration 120,,node-network-filter
1344,Block ingress and egress on pods labeled app=frontend in dev namespace,krknctl run pod-network-filter --ingress True --egress True --ports 8080 --pod-selector app=frontend --namespace <TARGET_NAMESPACE> --chaos-duration 20,Replace <TARGET_NAMESPACE> with the target namespace,pod-network-filter
1345,"Execute a service outage in default namespace for 15 minutes, block ingress traffic with telemetry and ES logging",krknctl run application-outages --namespace default --pod-selector '{app: service}' --block-traffic-type '[Ingress]' --chaos-duration 900 --telemetry-enabled True --enable-es True,,application-outages
1346,Execute a network filter on worker nodes to block egress traffic on port 9090,krknctl run node-network-filter --ingress False --egress True --ports 9090 --node-selector node-role.kubernetes.io/worker=,,node-network-filter
1347,Gimme the command for time skew on pods in namespace prod,krknctl run time-scenarios --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the target namespace name,time-scenarios
1348,"Run the network filter with ingress and egress traffic blocked for port 9090 in the monitoring namespace, and make it run in serial mode.",krknctl run node-network-filter --ingress True --egress True --ports 9090 --namespace monitoring --execution serial,,node-network-filter
1349,Need to run a pod traffic block for the kube-system namespace for 10 minutes to test pod communication.,"krknctl run pod-network-chaos --namespace kube-system --traffic-type '[ingress,egress]' --test-duration 600",,pod-network-chaos
1350,Cause service disruption in namespace app-ns with prometheus URL and alert path,krknctl run service-disruption-scenarios --namespace app-ns --prometheus-url http://prometheus:9090 --alerts-path /custom/alerts,,service-disruption-scenarios
1351,Run service hijacking experiment and send data to Elasticsearch,krknctl run service-hijacking --scenario-file-path <PLACEHOLDER_SCENARIO_FILE> --enable-es True --es-server http://elasticsearch:9200 --es-metrics-index service-hijack-results --es-telemetry-index service-hijack-telemetry --es-username user,Replace <PLACEHOLDER_SCENARIO_FILE> with the path to your scenario file,service-hijacking
1352,Set up time drift on pods labeled app=api and capture metrics,krknctl run time-scenarios --label-selector app=api --capture-metrics True,,time-scenarios
1353,How do I run a scenario to block traffic to pods with label app=api in the production namespace for 5 minutes?,krknctl run application-outages --namespace production --pod-selector '{app: api}' --chaos-duration 300,,application-outages
1354,"For our resilience assessment, we're implementing a zone disruption scenario on AWS with a custom subnet ID.",krknctl run zone-outages --cloud-type aws --zone us-east-1b --subnet-id subnet-12345,,zone-outages
1355,Run node reboot scenario and omit nodes with label node-role=worker,krknctl run node-scenarios --action node_reboot_scenario --exclude-label node-role=worker,,node-scenarios
1356,What's the command to block both ingress and egress traffic on port 9090?,krknctl run node-network-filter --ingress True --egress True --ports 9090,,node-network-filter
1357,We're preparing for a security drill and need to isolate pods labeled app=web in the kube-system namespace.,"krknctl run pod-network-chaos --namespace kube-system --label-selector app=web --traffic-type '[ingress,egress]'",,pod-network-chaos
1358,Run a kubevirt disruption for my-vm in namespace test with kill count 2,krknctl run kubevirt-outage --namespace test --vm-name my-vm --kill-count 2,,kubevirt-outage
1359,I need to run a pod network chaos test in the kube-system namespace with 10 minutes duration,krknctl run pod-network-chaos --namespace kube-system --label-selector app=system --test-duration 600,,pod-network-chaos
1360,Fire off a service disruption in namespace monitoring with a 2-minute duration.,krknctl run application-outages --namespace monitoring --pod-selector '{app: prometheus}' --chaos-duration 120,,application-outages
1361,"Run the scenario in namespace dev with 30-minute duration, and run it 2 times.",krknctl run application-outages --namespace dev --pod-selector '{app: frontend}' --chaos-duration 1800 --iterations 2,,application-outages
1362,"Deploy a high-fidelity node scenario with Prometheus metrics, Cerberus, and ES",krknctl run node-scenarios-bm --scenario-file-path /path/to/scenario-base64.txt --prometheus-url https://prometheus.example.com --prometheus-token <PROM_TOKEN> --cerberus-enabled True --cerberus-url https://cerberus.example.com --enable-es True --es-server http://elasticsearch.example.com --es-port 9200 --es-username es-user --es-password <ES_PASSWORD>,Replace <PROM_TOKEN> and <ES_PASSWORD> with actual values,node-scenarios-bm
1363,Trigger a traffic block in namespace kube-system with ingress and egress.,"krknctl run application-outages --namespace kube-system --pod-selector '{app: service}' --chaos-duration 600 --block-traffic-type '[Ingress, Egress]'",,application-outages
1364,How do I run a container kill in namespace test with label selector app=frontend?,krknctl run container-scenarios --namespace test --label-selector app=frontend,,container-scenarios
1365,Execute the PVC fill scenario in test namespace with 25% usage for 60 seconds and run it twice,krknctl run pvc-scenario --namespace test --fill-percentage 25 --duration 60 --iterations 2 --wait-duration 60,,pvc-scenarios
1366,Initiate a network filter on eth0 interface to drop TCP traffic on port 22,krknctl run node-network-filter --ingress True --egress True --interfaces eth0 --ports 22 --protocols tcp --chaos-duration 60,,node-network-filter
1367,Run memory stress test on nodes with node-role=worker for 60 seconds using telemetry,krknctl run node-memory-hog --chaos-duration 60 --memory-consumption 90% --node-selector node-role.kubernetes.io/worker= --telemetry-enabled True --telemetry-api-url https://telemetry.example.com --telemetry-username telemetry-user --telemetry-run-tag node-memory-stress,,node-memory-hog
1368,Run pod network chaos in daemon mode with an instance count of 2 for the my-app namespace.,"krknctl run pod-network-chaos --namespace my-app --label-selector app=backend --traffic-type '[ingress,egress]' --instance-count 2 --daemon-mode true",,pod-network-chaos
1369,What command should I use to skew date on pod containers?,krknctl run time-scenarios --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the target namespace name,time-scenarios
1370,Execute memory pressure on nodes labeled node-role=worker,krknctl run node-memory-hog --node-selector node-role.kubernetes.io/worker=,,node-memory-hog
1371,What's the syntax for pod disruption in namespace test?,krknctl run pod-scenarios --namespace test --pod-label app=api --expected-recovery-time 120,,pod-scenarios
1372,Simulate ingress block in namespace infra for 15 minutes with telemetry and run tag,krknctl run application-outages --namespace infra --pod-selector '{app: ingress}' --chaos-duration 900 --telemetry-enabled True --telemetry-run-tag ingress-only --telemetry-archive-path /backup/ingress,,application-outages
1373,Conducting a stress test to verify how the system handles blocked ingress for pods labeled app=worker.,krknctl run application-outages --namespace default --pod-selector '{app: worker}' --block-traffic-type '[Ingress]',,application-outages
1374,What's the syntax for blocking ingress traffic to pods labeled with name=nginx in the test namespace?,krknctl run pod-network-chaos --namespace test --label-selector name=nginx --traffic-type '[ingress]',,pod-network-chaos
1375,Run a VMI deletion in namespace kube-system,krknctl run kubevirt-outage --namespace kube-system --vm-name <PLACEHOLDER_VM_NAME>,Replace <PLACEHOLDER_VM_NAME> with the actual VM name,kubevirt-outage
1376,Filter ingress for app=backend pods in test namespace and log to ES,krknctl run pod-network-filter --ingress True --egress False --ports 9000 --pod-selector app=backend --namespace test --enable-es True --es-server https://elastic.example.com --es-port 9200 --es-username admin --es-password secret --es-metrics-index metrics,,pod-network-filter
1377,Execute zone outage in AWS for 10 minutes and run it in daemon mode with monitoring.,krknctl run zone-outages --cloud-type aws --zone us-east-1c --aws-access-key-id <AWS_ACCESS_KEY_ID> --aws-secret-access-key <AWS_SECRET_ACCESS_KEY> --subnet-id subnet-12345 --duration 600 --daemon-mode True,Replace <AWS_ACCESS_KEY_ID> and <AWS_SECRET_ACCESS_KEY> with actual values.,zone-outages
1378,Execute a pod network disruption for 5 minutes targeting app=api in dev namespace,krknctl run pod-network-chaos --namespace dev --label-selector app=api --test-duration 300,,pod-network-chaos
1379,We have a chaos drill next week and need to block ingress and egress traffic for pods labeled app=web in the dev namespace.,"krknctl run pod-network-chaos --namespace <TARGET_NAMESPACE> --label-selector app=web --traffic-type '[ingress,egress]'",Replace <TARGET_NAMESPACE> with the actual namespace name.,pod-network-chaos
1380,Run power outage scenario with telemetry and monitoring enabled,krknctl run power-outages --shutdown-duration 200 --cloud-type bm --telemetry-enabled True --telemetry-events-backup True --telemetry-run-tag baremetal-power-test,,power-outages
1381,Execute bare metal node disruption and check cluster status every 60 seconds,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_FILE> --health-check-url https://prometheus.example.com/api/v1/status --health-check-interval 60 --health-check-exit on-failure --health-check-verify disable,Replace <PLACEHOLDER_SCENARIO_FILE> with the actual base64-encoded scenario file path,node-scenarios-bm
1382,How to run container chaos with 2 containers disrupted,krknctl run container-scenarios --disruption-count 2,,container-scenarios
